False
A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T
0,3,0,0,7,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
3,0,5,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
0,5,0,0,0,6,0,0,0,0,0,9,0,0,0,0,0,0,0,0
0,2,0,0,4,0,8,0,0,0,0,0,7,0,0,0,0,0,0,0
7,0,0,4,0,0,0,5,0,0,0,0,0,6,0,0,0,0,0,0
0,0,6,0,0,0,0,9,0,0,0,0,0,0,4,0,0,0,0,0
0,0,0,8,0,0,0,0,10,0,0,0,0,0,0,5,0,0,0,0
0,0,0,0,5,9,0,0,0,11,0,0,0,0,0,0,7,0,0,0
0,0,0,0,0,0,10,0,0,12,0,0,0,0,0,0,0,8,0,0
4,0,0,0,0,0,0,11,12,0,0,0,0,0,0,0,0,0,9,0
0,8,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,5
0,0,9,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0
0,0,0,7,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0
0,0,0,0,6,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0
0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,8,0,0,0,0
0,0,0,0,0,0,5,0,0,0,0,0,0,0,8,0,6,0,0,0
0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,6,0,9,0,0
0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,9,0,7,0
0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,7,0,10
0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,10,0
